name_x,type,id,level,play_cost,evolution_cost,evolution_color,evolution_level,xros_req,color,color2,digi_type,digi_type2,form,dp,attribute,rarity,stage,artist,main_effect,source_effect,alt_effect,series,pretty_url,date_added,tcgplayer_name,tcgplayer_id,set_name,idProduct,name_y,code,idExpansion,idMetacard,idCategory,avg,low,trend,avg1,avg7,avg30
AeroVeedramon,Digimon,BT11-029,5.0,8.0,3.0,,,,Blue,,Holy Dragon,,,8000.0,Vaccine,r,,,"[Main] [Once Per Turn] By suspending this Digimon, reveal the top 3 cards of your deck. Add all blue Tamer cards among them to your hand. Place the rest at the bottom of your deck in any order.",[When Attacking] [Once Per Turn] Activate 1 of your [Rina Shinomiya]'s [On Play] effect.,,Digimon Card Game,aeroveedramon-bt11-029,2024-05-27 15:14:30,AeroVeedramon,477842.0,['BT-11: Booster Dimensional Phase'],694840.0,AeroVeedramon (BT11-029),BT11-029,5246.0,416282.0,1611.0,1.31,0.08,1.81,0.15,1.11,1.25
AeroVeedramon,Digimon,BT22-023,5.0,7.0,3.0,,,[Digivolve] Lv.4 w/[CS] trait: Cost 3,Blue,,Mythical Dragon,CS,,7000.0,Vaccine,U,,,"[On Play] [When Digivolving] Return 1 of your opponent's level 4 or lower Digimon to the bottom of the deck.
[End of Your Turn] [Once Per Turn] 1 of your blue Digimon or Tamers may unsuspend.","[All Turns] [Once Per Turn] When this Digimon with [Veedramon] in its name suspends, if you have a blue Tamer, this Digimon may unsuspend.",[Digivolve] Lv.4 w/[CS] trait: Cost 3,Digimon Card Game,aeroveedramon-bt22-023,2025-06-24 12:02:14,AeroVeedramon,639899.0,['BT-22: Booster Cyber Eden'],835178.0,AeroVeedramon (BT22-023),BT22-023,6173.0,451524.0,1611.0,0.06,0.02,0.06,0.13,0.07,0.05
AeroVeedramon Zero,Digimon,P-047,5.0,8.0,3.0,Blue,,,Blue,,Holy Dragon,,Ultimate,7000.0,Vaccine,P,Ultimate,,"[When Digivolving] Trash the top 3 cards of your deck. Then, if you have a Tamer, this Digimon gets +3000 DP for the turn.","[When Attacking] By returning 3 non Digi-Egg cards from your trash to the bottom of your deck in any order, this Digimon gets +2000 DP for the turn.",,Digimon Card Game,aeroveedramon-zero-p-047,2024-05-27 15:14:30,AeroVeedramon Zero,264751.0,['DC-1 2021'],650200.0,AeroVeedramon Zero (P-047),P-047,4996.0,405913.0,1611.0,0.31,0.12,0.23,0.31,0.42,0.58
Agility Training,Option,P-106,,2.0,,,,,Green,,,,,,,P,,,"[Main] Reveal the top 2 cards of your deck. Add 1 green card among them to your hand. Place the rest at the bottom of your deck in any order. Then, place this card in the battle area.
[Main] ＜Delay＞ (By trashing this card after the placing turn, activate the effect below.)
・1 of your Digimon may digivolve into a green Digimon card in your hand for its digivolution cost. When it would digivolve by this effect, reduce the cost by 2.",Security Effect [Security] Place this card in the battle area.,,Digimon Card Game,agility-training-p-106,2024-05-27 15:14:30,Agility Training,527452.0,['Limited Card Set ONLINE 2023'],744909.0,Agility Training (P-106),P-106,4996.0,427700.0,1611.0,2.07,2.5,1.76,1.87,2.08,2.27
Agumon,Digimon,P-001,3.0,5.0,0.0,Red,,,Red,,Reptile,,,3000.0,Vaccine,p,,,[On Play] Delete 1 of your opponent's Digimon with 3000 DP or less.,,,Digimon Card Game,agumon-p-001,2024-05-27 15:14:30,Agumon - P-001 P,229832.0,['PB-12E: Digimon Card Game 2nd Anniversary Set'],621204.0,Agumon (P-001),P-001,4996.0,405867.0,1611.0,0.15,0.03,0.21,0.24,0.21,0.24
Agumon,Digimon,P-009,3.0,3.0,0.0,Red,2.0,,Red,,Reptile,,Rookie,2000.0,Vaccine,p,Rookie,,"Inherited Effect [Your Turn] While this Digimon has [Greymon] in its name, it gets +2000 DP.",,,Digimon Card Game,agumon-p-009,2024-05-27 15:14:30,Agumon - P-009 P,229864.0,"['DC-1 2021', 'Special Box Promotion Pack']",621212.0,Agumon (P-009),P-009,4996.0,405875.0,1611.0,0.48,0.15,1.16,0.48,1.12,0.56
Agumon,Digimon,P-079,3.0,3.0,0.0,,2.0,,Red,,Reptile,,,2000.0,Vaccine,p,,,"[On Play] If you have a red Tamer in play, delete 1 of your opponent's Digimon with 3000 DP or less.",,,Digimon Card Game,agumon-p-079,2024-05-27 15:14:30,Agumon - P-079 (Digimon Survive Anime Expo 2022),277094.0,"['Digimon Survive Promo Pack', 'Digimon Survive Promotion Pack']",666815.0,Agumon (P-079),P-079,4996.0,409770.0,1611.0,1.07,0.74,1.11,1.43,1.17,1.3
Agumon,Digimon,ST1-03,3.0,3.0,0.0,Red,2.0,,Red,,Reptile,,Rookie,2000.0,Vaccine,u,Rookie,,Inherited Effect [Your Turn] This Digimon gets +1000 DP.,,,Digimon Card Game,agumon-st1-03,2024-05-27 15:14:30,Agumon,229753.0,"['Digimon Illustration Competition Promotion Pack 2022', 'Evolution Cup 2021', 'Regionals 2021', 'Special Promotion Pack 2022 Ver.3.0', 'ST-1: Starter Deck Gaia Red', 'ST-11 Special Entry Pack', 'ST-11: Starter Deck Special Entry Deck', 'Trial Deck: ST-1', 'Trial Deck: STC-1']",620944.0,Agumon (ST1-03),ST1-03,4998.0,405927.0,1611.0,0.07,0.02,0.1,0.09,0.11,0.11
Agumon,Digimon,ST5-03,3.0,3.0,0.0,Black,2.0,,Black,,Reptile,,Rookie,1000.0,Vaccine,u,Rookie,,＜Blocker＞ (This Digimon can block in the blocker timing.),,,Digimon Card Game,agumon-st5-03,2024-05-27 15:14:30,Agumon,238146.0,['ST-5: Starter Deck Machine Black'],621011.0,Agumon (ST5-03),ST5-03,5002.0,405991.0,1611.0,0.07,0.02,0.1,0.05,0.12,0.09
Agumon,Digimon,ST7-02,3.0,3.0,0.0,Red,2.0,,Red,,Dinosaur,,Rookie,2000.0,Vaccine,c,Rookie,,"Inherited Effect [When Attacking] When this Digimon attacks a player, it gets +2000 DP for the turn.",,,Digimon Card Game,agumon-st7-02,2024-05-27 15:14:30,Agumon,247619.0,['ST-7: Starter Deck Gallantmon'],621053.0,Agumon (ST7-02),ST7-02,5004.0,406022.0,1611.0,0.05,0.02,0.14,0.49,0.09,0.07
Agumon,Digimon,BT1-010,3.0,3.0,0.0,Red,2.0,,Red,,Reptile,,Rookie,2000.0,Vaccine,r,Rookie,,[On Play] Reveal the top 5 cards of your deck. Add 1 Tamer card among them to your hand. Place the rest at the bottom of the deck in any order.,,,Digimon Card Game,agumon-bt1-010,2024-05-27 15:14:30,Agumon,229820.0,"['25th Special Memorial Pack', 'BT-01: Booster New Evolution', 'BT01-03: Release Special Booster Ver.1.0', 'BTC-01: Booster Ultimate Evolution', 'Dash Pack Ver. 1.0', 'Memorial Collection 01', 'Memorial Collection 25th Anniversary', 'PB-09: Memorial Collection 01 Playmat']",621172.0,Agumon (BT1-010),BT1-010,4985.0,405010.0,1611.0,0.58,0.25,0.47,0.3,0.56,0.63
Agumon,Digimon,BT2-033,3.0,3.0,0.0,Yellow,2.0,,Yellow,,Dinosaur,,,3000.0,Vaccine,c,,,"Inherited Effect [When Attacking] If you have 3 or more yellow Tamers in play, ＜Draw 1＞ (Draw 1 card from your deck.)",,,Digimon Card Game,agumon-bt2-033,2024-05-27 15:14:30,Agumon - BT2-033,231000.0,"['BT-02: Booster Ultimate Power', 'BT01-03: Release Special Booster Ver.1.5', 'BTC-01: Booster Ultimate Evolution', ""PB-06: Tamer's Evolution Box 2""]",620244.0,Agumon (BT2-033),BT2-033,4986.0,405149.0,1611.0,0.06,0.02,0.09,0.03,0.17,0.08
